sample_name,defect_type,source_image,output_image,output_mask,metadata,mask_pixels,mask_area_ratio
tile_trad_crack_000,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\071.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\images\tile_trad_crack_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\masks\tile_trad_crack_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\metadata\tile_trad_crack_000.json,6750,0.009566326530612245
tile_trad_crack_001,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\108.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\images\tile_trad_crack_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\masks\tile_trad_crack_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\metadata\tile_trad_crack_001.json,4575,0.006483843537414966
tile_trad_crack_002,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\021.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\images\tile_trad_crack_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\masks\tile_trad_crack_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\metadata\tile_trad_crack_002.json,7204,0.010209750566893425
tile_trad_crack_003,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\021.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\images\tile_trad_crack_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\masks\tile_trad_crack_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\metadata\tile_trad_crack_003.json,4441,0.006293934240362811
tile_trad_crack_004,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\039.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\images\tile_trad_crack_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\masks\tile_trad_crack_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\metadata\tile_trad_crack_004.json,5686,0.008058390022675737
tile_trad_crack_005,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\196.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\images\tile_trad_crack_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\masks\tile_trad_crack_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\metadata\tile_trad_crack_005.json,5580,0.007908163265306122
tile_trad_crack_006,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\165.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\images\tile_trad_crack_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\masks\tile_trad_crack_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\metadata\tile_trad_crack_006.json,4953,0.0070195578231292514
tile_trad_crack_007,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\096.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\images\tile_trad_crack_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\masks\tile_trad_crack_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\metadata\tile_trad_crack_007.json,4645,0.006583049886621315
tile_trad_glue_strip_000,glue_strip,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\188.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\images\tile_trad_glue_strip_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\masks\tile_trad_glue_strip_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\metadata\tile_trad_glue_strip_000.json,20389,0.02889597505668934
tile_trad_glue_strip_001,glue_strip,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\229.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\images\tile_trad_glue_strip_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\masks\tile_trad_glue_strip_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\debug_gray_stroke\traditional_v2\tile\metadata\tile_trad_glue_strip_001.json,19306,0.02736111111111111
