sample_name,defect_type,source_image,source_mask,traditional_image,conditioning_image,output_image,output_mask,metadata,seed,model_id,variant,prompt
tile_diff_crack_000,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\020.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_crack_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_crack_000.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_crack_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_crack_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_crack_000.json,42,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long thin dark crack defect on industrial ceramic tile surface, inspection image, natural texture"
tile_diff_crack_001,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\148.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_crack_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_crack_001.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_crack_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_crack_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_crack_001.json,43,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long thin dark crack defect on industrial ceramic tile surface, inspection image, natural texture"
tile_diff_crack_002,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\094.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_crack_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_crack_002.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_crack_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_crack_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_crack_002.json,44,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long thin dark crack defect on industrial ceramic tile surface, inspection image, natural texture"
tile_diff_glue_strip_003,glue_strip,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\187.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_glue_strip_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_glue_strip_000.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_glue_strip_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_glue_strip_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_glue_strip_003.json,45,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic pale translucent glue strip defect on industrial ceramic tile surface, inspection image, natural texture"
tile_diff_glue_strip_004,glue_strip,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\155.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_glue_strip_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_glue_strip_001.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_glue_strip_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_glue_strip_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_glue_strip_004.json,46,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic pale translucent glue strip defect on industrial ceramic tile surface, inspection image, natural texture"
tile_diff_glue_strip_005,glue_strip,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\135.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_glue_strip_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_glue_strip_002.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_glue_strip_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_glue_strip_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_glue_strip_005.json,47,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic pale translucent glue strip defect on industrial ceramic tile surface, inspection image, natural texture"
tile_diff_gray_stroke_006,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\192.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_gray_stroke_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_gray_stroke_000.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_gray_stroke_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_gray_stroke_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_gray_stroke_006.json,48,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray stroke smudge defect on industrial ceramic tile surface, inspection image, visible local defect"
tile_diff_gray_stroke_007,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\147.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_gray_stroke_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_gray_stroke_001.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_gray_stroke_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_gray_stroke_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_gray_stroke_007.json,49,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray stroke smudge defect on industrial ceramic tile surface, inspection image, visible local defect"
tile_diff_gray_stroke_008,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\105.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_gray_stroke_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_gray_stroke_002.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_gray_stroke_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_gray_stroke_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_gray_stroke_008.json,50,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray stroke smudge defect on industrial ceramic tile surface, inspection image, visible local defect"
tile_diff_oil_009,oil,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\027.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_oil_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_oil_000.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_oil_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_oil_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_oil_009.json,51,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic yellow brown translucent oil stain defect on industrial ceramic tile surface, inspection image, visible contamination"
tile_diff_oil_010,oil,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\076.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_oil_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_oil_001.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_oil_010.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_oil_010_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_oil_010.json,52,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic yellow brown translucent oil stain defect on industrial ceramic tile surface, inspection image, visible contamination"
tile_diff_oil_011,oil,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\104.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_oil_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_oil_002.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_oil_011.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_oil_011_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_oil_011.json,53,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic yellow brown translucent oil stain defect on industrial ceramic tile surface, inspection image, visible contamination"
tile_diff_rough_012,rough,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\168.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_rough_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_rough_000.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_rough_012.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_rough_012_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_rough_012.json,54,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic rough damaged texture defect on industrial ceramic tile surface, inspection image, visible local abnormal area"
tile_diff_rough_013,rough,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\153.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_rough_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_rough_001.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_rough_013.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_rough_013_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_rough_013.json,55,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic rough damaged texture defect on industrial ceramic tile surface, inspection image, visible local abnormal area"
tile_diff_rough_014,rough,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\059.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\masks\tile_trad_rough_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\traditional_synthetic\tile\images\tile_trad_rough_002.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\images\tile_diff_rough_014.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\masks\tile_diff_rough_014_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\diffusion_synthetic\tile\metadata\tile_diff_rough_014.json,56,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic rough damaged texture defect on industrial ceramic tile surface, inspection image, visible local abnormal area"
