defect_type,image_name,mask_name,height,width,defect_pixels,total_pixels,defect_area_ratio
crack,000.png,000_mask.png,840,840,19004,705600,0.02693310657596372
crack,001.png,001_mask.png,840,840,11881,705600,0.016838151927437643
crack,002.png,002_mask.png,840,840,19328,705600,0.027392290249433106
crack,003.png,003_mask.png,840,840,19682,705600,0.027893990929705216
crack,004.png,004_mask.png,840,840,6986,705600,0.009900793650793651
crack,005.png,005_mask.png,840,840,10629,705600,0.015063775510204082
crack,006.png,006_mask.png,840,840,25581,705600,0.03625425170068027
crack,007.png,007_mask.png,840,840,19344,705600,0.02741496598639456
crack,008.png,008_mask.png,840,840,14109,705600,0.01999574829931973
crack,009.png,009_mask.png,840,840,16965,705600,0.024043367346938776
crack,010.png,010_mask.png,840,840,25407,705600,0.03600765306122449
crack,011.png,011_mask.png,840,840,9042,705600,0.012814625850340136
crack,012.png,012_mask.png,840,840,20740,705600,0.02939342403628118
crack,013.png,013_mask.png,840,840,14517,705600,0.020573979591836735
crack,014.png,014_mask.png,840,840,11509,705600,0.0163109410430839
crack,015.png,015_mask.png,840,840,5942,705600,0.008421201814058957
crack,016.png,016_mask.png,840,840,14805,705600,0.020982142857142855
glue_strip,000.png,000_mask.png,840,840,44535,705600,0.06311649659863945
glue_strip,001.png,001_mask.png,840,840,59075,705600,0.08372307256235828
glue_strip,002.png,002_mask.png,840,840,54803,705600,0.07766865079365079
glue_strip,003.png,003_mask.png,840,840,250395,705600,0.35486819727891156
glue_strip,004.png,004_mask.png,840,840,130408,705600,0.1848185941043084
glue_strip,005.png,005_mask.png,840,840,39258,705600,0.05563775510204082
glue_strip,006.png,006_mask.png,840,840,124511,705600,0.1764611678004535
glue_strip,007.png,007_mask.png,840,840,99204,705600,0.1405952380952381
glue_strip,008.png,008_mask.png,840,840,91761,705600,0.130046768707483
glue_strip,009.png,009_mask.png,840,840,34863,705600,0.04940901360544218
glue_strip,010.png,010_mask.png,840,840,116714,705600,0.1654109977324263
glue_strip,011.png,011_mask.png,840,840,70107,705600,0.09935799319727891
