defect_type,image_name,mask_name,height,width,defect_pixels,total_pixels,defect_area_ratio
color,000.png,000_mask.png,1024,1024,22219,1048576,0.02118968963623047
color,001.png,001_mask.png,1024,1024,44931,1048576,0.04284954071044922
color,002.png,002_mask.png,1024,1024,39776,1048576,0.037933349609375
color,003.png,003_mask.png,1024,1024,10214,1048576,0.009740829467773438
color,004.png,004_mask.png,1024,1024,34319,1048576,0.032729148864746094
color,005.png,005_mask.png,1024,1024,17526,1048576,0.016714096069335938
color,006.png,006_mask.png,1024,1024,70614,1048576,0.06734275817871094
color,007.png,007_mask.png,1024,1024,27889,1048576,0.026597023010253906
combined,000.png,000_mask.png,1024,1024,153876,1048576,0.14674758911132812
combined,001.png,001_mask.png,1024,1024,24831,1048576,0.023680686950683594
combined,002.png,002_mask.png,1024,1024,21056,1048576,0.02008056640625
combined,003.png,003_mask.png,1024,1024,40162,1048576,0.03830146789550781
combined,004.png,004_mask.png,1024,1024,69428,1048576,0.06621170043945312
combined,005.png,005_mask.png,1024,1024,9936,1048576,0.0094757080078125
combined,006.png,006_mask.png,1024,1024,91398,1048576,0.08716392517089844
combined,007.png,007_mask.png,1024,1024,62511,1048576,0.059615135192871094
combined,008.png,008_mask.png,1024,1024,47789,1048576,0.04557514190673828
combined,009.png,009_mask.png,1024,1024,20774,1048576,0.019811630249023438
combined,010.png,010_mask.png,1024,1024,81431,1048576,0.07765865325927734
hole,000.png,000_mask.png,1024,1024,25948,1048576,0.024745941162109375
hole,001.png,001_mask.png,1024,1024,11793,1048576,0.011246681213378906
hole,002.png,002_mask.png,1024,1024,9910,1048576,0.009450912475585938
hole,003.png,003_mask.png,1024,1024,12955,1048576,0.012354850769042969
hole,004.png,004_mask.png,1024,1024,20527,1048576,0.019576072692871094
hole,005.png,005_mask.png,1024,1024,14604,1048576,0.013927459716796875
hole,006.png,006_mask.png,1024,1024,2755,1048576,0.0026273727416992188
hole,007.png,007_mask.png,1024,1024,8761,1048576,0.008355140686035156
hole,008.png,008_mask.png,1024,1024,3648,1048576,0.00347900390625
hole,009.png,009_mask.png,1024,1024,9067,1048576,0.008646965026855469
liquid,000.png,000_mask.png,1024,1024,36590,1048576,0.03489494323730469
liquid,001.png,001_mask.png,1024,1024,107087,1048576,0.1021261215209961
liquid,002.png,002_mask.png,1024,1024,65291,1048576,0.06226634979248047
liquid,003.png,003_mask.png,1024,1024,31839,1048576,0.030364036560058594
liquid,004.png,004_mask.png,1024,1024,20653,1048576,0.01969623565673828
liquid,005.png,005_mask.png,1024,1024,78146,1048576,0.07452583312988281
liquid,006.png,006_mask.png,1024,1024,58789,1048576,0.05606555938720703
liquid,007.png,007_mask.png,1024,1024,41724,1048576,0.039791107177734375
liquid,008.png,008_mask.png,1024,1024,70972,1048576,0.06768417358398438
liquid,009.png,009_mask.png,1024,1024,38413,1048576,0.03663349151611328
scratch,000.png,000_mask.png,1024,1024,104693,1048576,0.09984302520751953
scratch,001.png,001_mask.png,1024,1024,9229,1048576,0.008801460266113281
scratch,002.png,002_mask.png,1024,1024,53861,1048576,0.05136585235595703
scratch,003.png,003_mask.png,1024,1024,14737,1048576,0.014054298400878906
scratch,004.png,004_mask.png,1024,1024,22295,1048576,0.021262168884277344
scratch,005.png,005_mask.png,1024,1024,109840,1048576,0.1047515869140625
scratch,006.png,006_mask.png,1024,1024,432742,1048576,0.41269493103027344
scratch,007.png,007_mask.png,1024,1024,330711,1048576,0.31539058685302734
scratch,008.png,008_mask.png,1024,1024,25269,1048576,0.02409839630126953
scratch,009.png,009_mask.png,1024,1024,25871,1048576,0.024672508239746094
scratch,010.png,010_mask.png,1024,1024,28884,1048576,0.027545928955078125
scratch,011.png,011_mask.png,1024,1024,128239,1048576,0.1222982406616211
scratch,012.png,012_mask.png,1024,1024,73081,1048576,0.06969547271728516
scratch,013.png,013_mask.png,1024,1024,12054,1048576,0.011495590209960938
scratch,014.png,014_mask.png,1024,1024,26649,1048576,0.025414466857910156
scratch,015.png,015_mask.png,1024,1024,23908,1048576,0.022800445556640625
scratch,016.png,016_mask.png,1024,1024,64931,1048576,0.06192302703857422
scratch,017.png,017_mask.png,1024,1024,64630,1048576,0.06163597106933594
scratch,018.png,018_mask.png,1024,1024,46895,1048576,0.044722557067871094
scratch,019.png,019_mask.png,1024,1024,15476,1048576,0.014759063720703125
scratch,020.png,020_mask.png,1024,1024,25269,1048576,0.02409839630126953
