sample_name,defect_type,source_image,output_image,output_mask,metadata,mask_pixels,mask_area_ratio
tile_trad_crack_000,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\116.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\images\tile_trad_crack_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\masks\tile_trad_crack_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\metadata\tile_trad_crack_000.json,5043,0.007147108843537415
tile_trad_crack_001,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\064.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\images\tile_trad_crack_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\masks\tile_trad_crack_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\metadata\tile_trad_crack_001.json,3212,0.004552154195011338
tile_trad_crack_002,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\140.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\images\tile_trad_crack_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\masks\tile_trad_crack_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\metadata\tile_trad_crack_002.json,3217,0.004559240362811791
tile_trad_crack_003,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\123.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\images\tile_trad_crack_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\masks\tile_trad_crack_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\metadata\tile_trad_crack_003.json,4286,0.006074263038548753
tile_trad_crack_004,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\184.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\images\tile_trad_crack_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\masks\tile_trad_crack_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\metadata\tile_trad_crack_004.json,7253,0.010279195011337868
tile_trad_crack_005,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\111.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\images\tile_trad_crack_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\masks\tile_trad_crack_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\metadata\tile_trad_crack_005.json,7057,0.01000141723356009
tile_trad_crack_006,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\130.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\images\tile_trad_crack_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\masks\tile_trad_crack_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\metadata\tile_trad_crack_006.json,7196,0.010198412698412698
tile_trad_crack_007,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\174.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\images\tile_trad_crack_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\masks\tile_trad_crack_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\metadata\tile_trad_crack_007.json,3985,0.0056476757369614515
tile_trad_crack_008,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\226.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\images\tile_trad_crack_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\masks\tile_trad_crack_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\metadata\tile_trad_crack_008.json,2785,0.003946995464852608
tile_trad_crack_009,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\184.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\images\tile_trad_crack_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\masks\tile_trad_crack_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\expanded_synthetic\traditional\tile\metadata\tile_trad_crack_009.json,5493,0.0077848639455782315
