sample_name,defect_type,source_image,source_mask,traditional_image,conditioning_image,output_image,output_mask,metadata,seed,model_id,variant,prompt
tile_diff_gray_stroke_000,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\161.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_000.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\images\tile_diff_gray_stroke_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\masks\tile_diff_gray_stroke_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\metadata\tile_diff_gray_stroke_000.json,104,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray black irregular smudge stain defect on industrial ceramic tile surface, rough local contamination, inspection image, visible defect region"
tile_diff_gray_stroke_001,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\092.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_001.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\images\tile_diff_gray_stroke_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\masks\tile_diff_gray_stroke_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\metadata\tile_diff_gray_stroke_001.json,105,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray black irregular smudge stain defect on industrial ceramic tile surface, rough local contamination, inspection image, visible defect region"
tile_diff_gray_stroke_002,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\056.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_002.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\images\tile_diff_gray_stroke_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\masks\tile_diff_gray_stroke_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\metadata\tile_diff_gray_stroke_002.json,106,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray black irregular smudge stain defect on industrial ceramic tile surface, rough local contamination, inspection image, visible defect region"
tile_diff_gray_stroke_003,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\071.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_003.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\images\tile_diff_gray_stroke_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\masks\tile_diff_gray_stroke_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\metadata\tile_diff_gray_stroke_003.json,107,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray black irregular smudge stain defect on industrial ceramic tile surface, rough local contamination, inspection image, visible defect region"
tile_diff_gray_stroke_004,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\026.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_004.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\images\tile_diff_gray_stroke_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\masks\tile_diff_gray_stroke_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\metadata\tile_diff_gray_stroke_004.json,108,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray black irregular smudge stain defect on industrial ceramic tile surface, rough local contamination, inspection image, visible defect region"
tile_diff_gray_stroke_005,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_005.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\images\tile_diff_gray_stroke_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\masks\tile_diff_gray_stroke_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\metadata\tile_diff_gray_stroke_005.json,109,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray black irregular smudge stain defect on industrial ceramic tile surface, rough local contamination, inspection image, visible defect region"
tile_diff_gray_stroke_006,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\087.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_006.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\images\tile_diff_gray_stroke_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\masks\tile_diff_gray_stroke_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\metadata\tile_diff_gray_stroke_006.json,110,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray black irregular smudge stain defect on industrial ceramic tile surface, rough local contamination, inspection image, visible defect region"
tile_diff_gray_stroke_007,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\088.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_007.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\images\tile_diff_gray_stroke_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\masks\tile_diff_gray_stroke_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\metadata\tile_diff_gray_stroke_007.json,111,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray black irregular smudge stain defect on industrial ceramic tile surface, rough local contamination, inspection image, visible defect region"
tile_diff_gray_stroke_008,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\220.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_008.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\images\tile_diff_gray_stroke_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\masks\tile_diff_gray_stroke_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\metadata\tile_diff_gray_stroke_008.json,112,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray black irregular smudge stain defect on industrial ceramic tile surface, rough local contamination, inspection image, visible defect region"
tile_diff_gray_stroke_009,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_009.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\images\tile_diff_gray_stroke_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\masks\tile_diff_gray_stroke_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\diffusion\tile\metadata\tile_diff_gray_stroke_009.json,113,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark gray black irregular smudge stain defect on industrial ceramic tile surface, rough local contamination, inspection image, visible defect region"
