sample_name,defect_type,source_image,output_image,output_mask,metadata,mask_pixels,mask_area_ratio
tile_trad_gray_stroke_000,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\161.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_000.json,22854,0.03238945578231293
tile_trad_gray_stroke_001,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\092.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_001.json,6125,0.008680555555555556
tile_trad_gray_stroke_002,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\056.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_002.json,26256,0.037210884353741494
tile_trad_gray_stroke_003,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\071.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_003.json,15488,0.021950113378684806
tile_trad_gray_stroke_004,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\026.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_004.json,43737,0.06198554421768707
tile_trad_gray_stroke_005,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_005.json,19576,0.0277437641723356
tile_trad_gray_stroke_006,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\087.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_006.json,55357,0.07845379818594105
tile_trad_gray_stroke_007,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\088.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_007.json,43768,0.06202947845804989
tile_trad_gray_stroke_008,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\220.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_008.json,31485,0.044621598639455785
tile_trad_gray_stroke_009,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_009.json,43891,0.062203798185941045
tile_trad_gray_stroke_010,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\039.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_010.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_010_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_010.json,55825,0.07911706349206349
tile_trad_gray_stroke_011,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\010.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_011.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_011_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_011.json,50888,0.0721201814058957
tile_trad_gray_stroke_012,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\184.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_012.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_012_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_012.json,15357,0.021764455782312925
tile_trad_gray_stroke_013,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\042.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_013.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_013_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_013.json,15169,0.021498015873015874
tile_trad_gray_stroke_014,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\163.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_014.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_014_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_014.json,34536,0.048945578231292516
tile_trad_gray_stroke_015,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\066.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_015.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_015_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_015.json,25992,0.03683673469387755
tile_trad_gray_stroke_016,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\116.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_016.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_016_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_016.json,22823,0.03234552154195011
tile_trad_gray_stroke_017,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\179.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_017.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_017_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_017.json,54088,0.07665532879818594
tile_trad_gray_stroke_018,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\174.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_018.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_018_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_018.json,21907,0.031047335600907028
tile_trad_gray_stroke_019,gray_stroke,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\084.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\images\tile_trad_gray_stroke_019.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\masks\tile_trad_gray_stroke_019_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\gray_stroke_fix\traditional\tile\metadata\tile_trad_gray_stroke_019.json,41430,0.05871598639455782
