synthetic_source,defect_type,total,accepted,rejected,accept_rate,mean_mask_area_ratio,mean_inside_abs_diff,mean_outside_abs_diff
traditional,color,20,17,3,0.85,0.005554771423339844,7.412578618526458,0.003456565586384386
traditional,cut,20,15,5,0.75,0.002031230926513672,10.56313863992691,0.003321854643581901
traditional,fold,20,13,7,0.65,0.05690770149230957,5.363520485162735,0.004395098225904804
traditional,glue,20,20,0,1.0,0.014042329788208009,34.79860754013062,0.004575957567431033
traditional,poke,20,20,0,1.0,0.0038443565368652343,30.07857265472412,0.0015361024270532653
diffusion,color,10,10,0,1.0,0.004542064666748047,8.656187820434571,6.52414379119873
diffusion,cut,10,10,0,1.0,0.0020605087280273437,9.21160454750061,6.331478881835937
diffusion,fold,10,10,0,1.0,0.05465021133422852,8.090208339691163,6.415092325210571
diffusion,glue,10,10,0,1.0,0.014010429382324219,13.829965496063233,6.301652622222901
diffusion,poke,10,10,0,1.0,0.004256248474121094,23.251763820648193,6.317185688018799
