sample_name,defect_type,source_image,output_image,output_mask,metadata,mask_pixels,mask_area_ratio,synthetic_source,accepted,reject_reasons,inside_mean_abs_diff,outside_mean_abs_diff,outside_p95_abs_diff
leather_trad_color_004,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\010.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\metadata\leather_trad_color_004.json,6006,0.0057277679443359375,traditional,0,defect_change_too_weak,2.664668560028076,0.002116244984790683,0.0
leather_trad_color_012,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\011.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_012.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_012_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\metadata\leather_trad_color_012.json,9607,0.009161949157714844,traditional,0,defect_change_too_weak,3.8166611194610596,0.0032875537872314453,0.0
leather_trad_color_015,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\192.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_015.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_015_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\metadata\leather_trad_color_015.json,6985,0.006661415100097656,traditional,0,defect_change_too_weak,2.210212230682373,0.0012804130092263222,0.0
leather_trad_cut_002,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\061.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_cut_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_cut_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\metadata\leather_trad_cut_002.json,1773,0.0016908645629882812,traditional,0,defect_change_too_weak,3.98514723777771,0.002516551176086068,0.0
leather_trad_cut_010,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\094.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_cut_010.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_cut_010_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\metadata\leather_trad_cut_010.json,897,0.0008554458618164062,traditional,0,mask_too_small,8.392419815063477,0.0010193962370976806,0.0
leather_trad_cut_013,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_cut_013.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_cut_013_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\metadata\leather_trad_cut_013.json,1103,0.0010519027709960938,traditional,0,defect_change_too_weak,2.796010971069336,0.0006434533861465752,0.0
leather_trad_cut_017,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\034.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_cut_017.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_cut_017_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\metadata\leather_trad_cut_017.json,756,0.000720977783203125,traditional,0,mask_too_small,21.753087997436523,0.002082100370898843,0.0
leather_trad_cut_018,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\143.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_cut_018.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_cut_018_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\metadata\leather_trad_cut_018.json,754,0.0007190704345703125,traditional,0,mask_too_small,9.60212230682373,0.003211105242371559,0.0
leather_trad_fold_000,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\128.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_fold_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_fold_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\metadata\leather_trad_fold_000.json,49698,0.04739570617675781,traditional,0,defect_change_too_weak,3.386098623275757,0.0029326234944164753,0.0
leather_trad_fold_004,fold,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\132.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_fold_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_fold_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\metadata\leather_trad_fold_004.json,52996,0.050540924072265625,traditional,0,defect_change_too_weak,1.7672213315963745,0.008490193635225296,0.0
