sample_name,defect_type,source_image,source_mask,traditional_image,conditioning_image,output_image,output_mask,metadata,seed,model_id,variant,prompt
leather_diff_color_000,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\216.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_000.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\images\leather_diff_color_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\masks\leather_diff_color_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\metadata\leather_diff_color_000.json,504,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark color stain defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect"
leather_diff_color_001,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_001.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\images\leather_diff_color_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\masks\leather_diff_color_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\metadata\leather_diff_color_001.json,505,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark color stain defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect"
leather_diff_color_002,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\071.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_002.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\images\leather_diff_color_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\masks\leather_diff_color_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\metadata\leather_diff_color_002.json,506,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark color stain defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect"
leather_diff_color_003,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\134.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_003.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\images\leather_diff_color_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\masks\leather_diff_color_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\metadata\leather_diff_color_003.json,507,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark color stain defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect"
leather_diff_color_004,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\010.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_004.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\images\leather_diff_color_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\masks\leather_diff_color_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\metadata\leather_diff_color_004.json,508,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark color stain defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect"
leather_diff_color_005,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\040.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_005.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\images\leather_diff_color_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\masks\leather_diff_color_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\metadata\leather_diff_color_005.json,509,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark color stain defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect"
leather_diff_color_006,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\070.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_006.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\images\leather_diff_color_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\masks\leather_diff_color_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\metadata\leather_diff_color_006.json,510,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark color stain defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect"
leather_diff_color_007,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\100.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_007.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\images\leather_diff_color_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\masks\leather_diff_color_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\metadata\leather_diff_color_007.json,511,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark color stain defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect"
leather_diff_color_008,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\170.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_008.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\images\leather_diff_color_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\masks\leather_diff_color_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\metadata\leather_diff_color_008.json,512,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark color stain defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect"
leather_diff_color_009,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\123.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\masks\leather_trad_color_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\traditional\leather\images\leather_trad_color_009.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\images\leather_diff_color_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\masks\leather_diff_color_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage10_leather_synthetic\diffusion\leather\metadata\leather_diff_color_009.json,513,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic dark color stain defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect"
