sample_name,defect_type,source_image,source_mask,traditional_image,conditioning_image,output_image,output_mask,metadata,seed,model_id,variant,prompt,synthetic_source,accepted,reject_reasons,mask_area_ratio,inside_mean_abs_diff,outside_mean_abs_diff,outside_p95_abs_diff
leather_diff_cut_000,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\048.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_000.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\images\leather_diff_cut_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\masks\leather_diff_cut_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\metadata\leather_diff_cut_000.json,604,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic narrow cut defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect",diffusion,1,,0.005359649658203125,8.598576545715332,6.201449394226074,14.666666984558105
leather_diff_cut_001,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\226.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_001.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\images\leather_diff_cut_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\masks\leather_diff_cut_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\metadata\leather_diff_cut_001.json,605,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic narrow cut defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect",diffusion,1,,0.0041332244873046875,9.238656044006348,5.861322402954102,14.0
leather_diff_cut_002,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\209.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_002.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\images\leather_diff_cut_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\masks\leather_diff_cut_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\metadata\leather_diff_cut_002.json,606,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic narrow cut defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect",diffusion,1,,0.0034151077270507812,12.746904373168945,6.129844665527344,14.333333015441895
leather_diff_cut_003,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\170.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_003.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\images\leather_diff_cut_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\masks\leather_diff_cut_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\metadata\leather_diff_cut_003.json,607,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic narrow cut defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect",diffusion,1,,0.0034532546997070312,8.815889358520508,5.753183841705322,13.666666984558105
leather_diff_cut_004,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\035.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_004.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\images\leather_diff_cut_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\masks\leather_diff_cut_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\metadata\leather_diff_cut_004.json,608,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic narrow cut defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect",diffusion,1,,0.0031175613403320312,10.503721237182617,6.144444465637207,14.666666984558105
leather_diff_cut_005,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\142.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_005.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\images\leather_diff_cut_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\masks\leather_diff_cut_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\metadata\leather_diff_cut_005.json,609,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic narrow cut defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect",diffusion,1,,0.004791259765625,7.544386863708496,6.987606525421143,16.66666603088379
leather_diff_cut_006,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\206.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_006.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\images\leather_diff_cut_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\masks\leather_diff_cut_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\metadata\leather_diff_cut_006.json,610,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic narrow cut defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect",diffusion,1,,0.0021686553955078125,9.137056350708008,5.579777717590332,13.0
leather_diff_cut_007,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\079.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_007.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\images\leather_diff_cut_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\masks\leather_diff_cut_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\metadata\leather_diff_cut_007.json,611,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic narrow cut defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect",diffusion,1,,0.0025491714477539062,11.98553466796875,6.1992597579956055,14.666666984558105
leather_diff_cut_008,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\011.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_008.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\images\leather_diff_cut_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\masks\leather_diff_cut_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\metadata\leather_diff_cut_008.json,612,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic narrow cut defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect",diffusion,1,,0.0037078857421875,15.976766586303711,5.489685535430908,12.666666984558105
leather_diff_cut_009,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\095.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_009.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\images\leather_diff_cut_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\masks\leather_diff_cut_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\diffusion\leather\metadata\leather_diff_cut_009.json,613,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic narrow cut defect on industrial leather surface, fine leather grain texture, inspection image, visible local defect",diffusion,1,,0.003078460693359375,10.719124794006348,6.590542793273926,16.0
