sample_name,defect_type,source_image,output_image,output_mask,metadata,mask_pixels,mask_area_ratio
leather_trad_cut_000,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\048.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\metadata\leather_trad_cut_000.json,5620,0.005359649658203125
leather_trad_cut_001,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\226.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\metadata\leather_trad_cut_001.json,4334,0.0041332244873046875
leather_trad_cut_002,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\209.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\metadata\leather_trad_cut_002.json,3581,0.0034151077270507812
leather_trad_cut_003,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\170.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\metadata\leather_trad_cut_003.json,3621,0.0034532546997070312
leather_trad_cut_004,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\035.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\metadata\leather_trad_cut_004.json,3269,0.0031175613403320312
leather_trad_cut_005,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\142.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\metadata\leather_trad_cut_005.json,5024,0.004791259765625
leather_trad_cut_006,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\206.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\metadata\leather_trad_cut_006.json,2274,0.0021686553955078125
leather_trad_cut_007,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\079.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\metadata\leather_trad_cut_007.json,2673,0.0025491714477539062
leather_trad_cut_008,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\011.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\metadata\leather_trad_cut_008.json,3888,0.0037078857421875
leather_trad_cut_009,cut,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\leather\train\good\095.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\images\leather_trad_cut_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\masks\leather_trad_cut_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage11_leather_precision_cut_fix\traditional\leather\metadata\leather_trad_cut_009.json,3228,0.003078460693359375
