sample_name,defect_type,source_image,source_mask,traditional_image,conditioning_image,output_image,output_mask,metadata,seed,model_id,variant,prompt,synthetic_source,accepted,reject_reasons,mask_area_ratio,inside_mean_abs_diff,outside_mean_abs_diff,outside_p95_abs_diff
tile_diff_crack_000,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\170.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\masks\tile_trad_crack_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\images\tile_trad_crack_000.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\images\tile_diff_crack_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\masks\tile_diff_crack_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\metadata\tile_diff_crack_000.json,204,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long branching dark hairline crack fracture across industrial ceramic tile surface, thin irregular fracture lines, inspection image, natural texture",diffusion,1,,0.003090986394557823,40.60171127319336,6.834643363952637,16.66666603088379
tile_diff_crack_001,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\087.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\masks\tile_trad_crack_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\images\tile_trad_crack_001.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\images\tile_diff_crack_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\masks\tile_diff_crack_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\metadata\tile_diff_crack_001.json,205,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long branching dark hairline crack fracture across industrial ceramic tile surface, thin irregular fracture lines, inspection image, natural texture",diffusion,1,,0.009481292517006802,30.647884368896484,6.530874729156494,15.333333015441895
tile_diff_crack_002,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\114.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\masks\tile_trad_crack_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\images\tile_trad_crack_002.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\images\tile_diff_crack_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\masks\tile_diff_crack_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\metadata\tile_diff_crack_002.json,206,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long branching dark hairline crack fracture across industrial ceramic tile surface, thin irregular fracture lines, inspection image, natural texture",diffusion,1,,0.01613095238095238,24.141538619995117,6.874247074127197,16.33333396911621
tile_diff_crack_003,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\145.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\masks\tile_trad_crack_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\images\tile_trad_crack_003.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\images\tile_diff_crack_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\masks\tile_diff_crack_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\metadata\tile_diff_crack_003.json,207,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long branching dark hairline crack fracture across industrial ceramic tile surface, thin irregular fracture lines, inspection image, natural texture",diffusion,1,,0.01512046485260771,28.35345458984375,6.451582908630371,15.666666984558105
tile_diff_crack_004,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\033.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\masks\tile_trad_crack_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\images\tile_trad_crack_004.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\images\tile_diff_crack_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\masks\tile_diff_crack_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\metadata\tile_diff_crack_004.json,208,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long branching dark hairline crack fracture across industrial ceramic tile surface, thin irregular fracture lines, inspection image, natural texture",diffusion,1,,0.03346655328798186,32.070491790771484,7.047352313995361,17.0
tile_diff_crack_005,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\masks\tile_trad_crack_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\images\tile_trad_crack_005.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\images\tile_diff_crack_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\masks\tile_diff_crack_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\metadata\tile_diff_crack_005.json,209,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long branching dark hairline crack fracture across industrial ceramic tile surface, thin irregular fracture lines, inspection image, natural texture",diffusion,1,,0.007414965986394558,16.653669357299805,6.094465255737305,15.0
tile_diff_crack_006,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\130.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\masks\tile_trad_crack_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\images\tile_trad_crack_006.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\images\tile_diff_crack_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\masks\tile_diff_crack_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\metadata\tile_diff_crack_006.json,210,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long branching dark hairline crack fracture across industrial ceramic tile surface, thin irregular fracture lines, inspection image, natural texture",diffusion,1,,0.028176020408163267,21.656253814697266,6.231841087341309,15.333333015441895
tile_diff_crack_007,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\161.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\masks\tile_trad_crack_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\images\tile_trad_crack_007.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\images\tile_diff_crack_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\masks\tile_diff_crack_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\metadata\tile_diff_crack_007.json,211,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long branching dark hairline crack fracture across industrial ceramic tile surface, thin irregular fracture lines, inspection image, natural texture",diffusion,1,,0.018433956916099774,24.408754348754883,7.115108966827393,17.33333396911621
tile_diff_crack_008,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\208.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\masks\tile_trad_crack_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\images\tile_trad_crack_008.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\images\tile_diff_crack_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\masks\tile_diff_crack_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\metadata\tile_diff_crack_008.json,212,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long branching dark hairline crack fracture across industrial ceramic tile surface, thin irregular fracture lines, inspection image, natural texture",diffusion,1,,0.027327097505668935,35.80031204223633,6.071025371551514,14.333333015441895
tile_diff_crack_009,crack,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\tile\train\good\175.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\masks\tile_trad_crack_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\traditional\tile\images\tile_trad_crack_009.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\images\tile_diff_crack_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\masks\tile_diff_crack_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage7_synthetic\diffusion\tile\metadata\tile_diff_crack_009.json,213,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"a realistic long branching dark hairline crack fracture across industrial ceramic tile surface, thin irregular fracture lines, inspection image, natural texture",diffusion,1,,0.014990079365079364,21.043365478515625,6.490104675292969,15.333333015441895
