synthetic_source,defect_type,total,accepted,rejected,accept_rate,mean_mask_area_ratio,mean_inside_abs_diff,mean_outside_abs_diff
traditional,crack,20,20,0,1.0,0.015148242630385486,41.90880270004273,0.04286418319679797
traditional,glue_strip,20,20,0,1.0,0.028556547619047624,56.27480201721191,0.015649684658274054
traditional,gray_stroke,20,20,0,1.0,0.04472470238095237,42.797035217285156,0.05152989490889013
traditional,oil,20,20,0,1.0,0.061404053287981854,12.327000451087951,0.024955634539946914
traditional,rough,20,20,0,1.0,0.03490745464852608,22.73336706161499,0.0066247128415852785
diffusion,crack,10,10,0,1.0,0.01736323696145125,27.53774356842041,6.574124574661255
diffusion,glue_strip,10,10,0,1.0,0.02788988095238095,51.19445457458496,6.541025161743164
diffusion,gray_stroke,10,10,0,1.0,0.052043792517006804,42.39596328735352,6.761335706710815
diffusion,oil,10,10,0,1.0,0.07347293083900228,23.97915916442871,6.570778560638428
diffusion,rough,10,10,0,1.0,0.03412585034013606,23.387751579284668,6.707195472717285
