sample_name,defect_type,source_image,output_image,output_mask,metadata,mask_pixels,mask_area_ratio
wood_trad_color_000,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\189.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_000.json,60832,0.058013916015625
wood_trad_color_001,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\207.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_001.json,21750,0.020742416381835938
wood_trad_color_002,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\064.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_002.json,18665,0.017800331115722656
wood_trad_color_003,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\218.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_003.json,56411,0.05379772186279297
wood_trad_color_004,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\063.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_004.json,27392,0.026123046875
wood_trad_color_005,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\146.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_005.json,30462,0.029050827026367188
wood_trad_color_006,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\197.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_006.json,43794,0.04176521301269531
wood_trad_color_007,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\100.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_007.json,29575,0.028204917907714844
wood_trad_color_008,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\115.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_008.json,53592,0.05110931396484375
wood_trad_color_009,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\242.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_009.json,26738,0.025499343872070312
wood_trad_color_010,color,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\170.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\images\wood_trad_color_010.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\masks\wood_trad_color_010_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage8_wood_synthetic\traditional\wood\metadata\wood_trad_color_010.json,51297,0.048920631408691406
