sample_name,defect_type,source_image,source_mask,traditional_image,conditioning_image,output_image,output_mask,metadata,seed,model_id,variant,prompt,synthetic_source,accepted,reject_reasons,mask_area_ratio,inside_mean_abs_diff,outside_mean_abs_diff,outside_p95_abs_diff
wood_diff_scratch_000,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\228.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_000.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\images\wood_diff_scratch_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\masks\wood_diff_scratch_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\metadata\wood_diff_scratch_000.json,404,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"realistic long bright scratch marks and large shallow abrasion on industrial wood surface, follows natural wood grain texture, inspection image, visible wide scratched defect",diffusion,1,,0.050780296325683594,8.582930564880371,6.89183235168457,16.0
wood_diff_scratch_001,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\218.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_001.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\images\wood_diff_scratch_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\masks\wood_diff_scratch_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\metadata\wood_diff_scratch_001.json,405,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"realistic long bright scratch marks and large shallow abrasion on industrial wood surface, follows natural wood grain texture, inspection image, visible wide scratched defect",diffusion,1,,0.0164794921875,8.42025375366211,6.587218761444092,15.666666984558105
wood_diff_scratch_002,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\055.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_002.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\images\wood_diff_scratch_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\masks\wood_diff_scratch_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\metadata\wood_diff_scratch_002.json,406,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"realistic long bright scratch marks and large shallow abrasion on industrial wood surface, follows natural wood grain texture, inspection image, visible wide scratched defect",diffusion,1,,0.030625343322753906,8.936100959777832,7.3188276290893555,17.0
wood_diff_scratch_003,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\233.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_003.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\images\wood_diff_scratch_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\masks\wood_diff_scratch_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\metadata\wood_diff_scratch_003.json,407,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"realistic long bright scratch marks and large shallow abrasion on industrial wood surface, follows natural wood grain texture, inspection image, visible wide scratched defect",diffusion,1,,0.05900764465332031,10.724515914916992,7.421862602233887,17.66666603088379
wood_diff_scratch_004,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\057.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_004.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\images\wood_diff_scratch_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\masks\wood_diff_scratch_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\metadata\wood_diff_scratch_004.json,408,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"realistic long bright scratch marks and large shallow abrasion on industrial wood surface, follows natural wood grain texture, inspection image, visible wide scratched defect",diffusion,1,,0.0454559326171875,9.565646171569824,7.069502830505371,16.33333396911621
wood_diff_scratch_005,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\023.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_005.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\images\wood_diff_scratch_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\masks\wood_diff_scratch_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\metadata\wood_diff_scratch_005.json,409,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"realistic long bright scratch marks and large shallow abrasion on industrial wood surface, follows natural wood grain texture, inspection image, visible wide scratched defect",diffusion,1,,0.050126075744628906,9.067826271057129,6.711015701293945,16.0
wood_diff_scratch_006,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\183.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_006.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\images\wood_diff_scratch_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\masks\wood_diff_scratch_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\metadata\wood_diff_scratch_006.json,410,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"realistic long bright scratch marks and large shallow abrasion on industrial wood surface, follows natural wood grain texture, inspection image, visible wide scratched defect",diffusion,1,,0.07068347930908203,8.189888954162598,6.339796543121338,15.0
wood_diff_scratch_007,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\220.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_007.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\images\wood_diff_scratch_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\masks\wood_diff_scratch_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\metadata\wood_diff_scratch_007.json,411,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"realistic long bright scratch marks and large shallow abrasion on industrial wood surface, follows natural wood grain texture, inspection image, visible wide scratched defect",diffusion,1,,0.03234672546386719,8.34995174407959,6.838613033294678,16.0
wood_diff_scratch_008,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\238.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_008.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\images\wood_diff_scratch_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\masks\wood_diff_scratch_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\metadata\wood_diff_scratch_008.json,412,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"realistic long bright scratch marks and large shallow abrasion on industrial wood surface, follows natural wood grain texture, inspection image, visible wide scratched defect",diffusion,1,,0.023939132690429688,8.261399269104004,6.595583438873291,15.333333015441895
wood_diff_scratch_009,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\178.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_009.png,traditional,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\images\wood_diff_scratch_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\masks\wood_diff_scratch_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\diffusion\wood\metadata\wood_diff_scratch_009.json,413,stable-diffusion-v1-5/stable-diffusion-inpainting,fp16,"realistic long bright scratch marks and large shallow abrasion on industrial wood surface, follows natural wood grain texture, inspection image, visible wide scratched defect",diffusion,1,,0.0288543701171875,9.046083450317383,6.08065128326416,14.666666984558105
