sample_name,defect_type,source_image,output_image,output_mask,metadata,mask_pixels,mask_area_ratio
wood_trad_scratch_000,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\228.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_000.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_000_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\metadata\wood_trad_scratch_000.json,53247,0.050780296325683594
wood_trad_scratch_001,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\218.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_001.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_001_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\metadata\wood_trad_scratch_001.json,17280,0.0164794921875
wood_trad_scratch_002,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\055.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_002.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_002_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\metadata\wood_trad_scratch_002.json,32113,0.030625343322753906
wood_trad_scratch_003,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\233.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_003.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_003_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\metadata\wood_trad_scratch_003.json,61874,0.05900764465332031
wood_trad_scratch_004,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\057.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_004.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_004_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\metadata\wood_trad_scratch_004.json,47664,0.0454559326171875
wood_trad_scratch_005,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\023.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_005.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_005_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\metadata\wood_trad_scratch_005.json,52561,0.050126075744628906
wood_trad_scratch_006,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\183.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_006.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_006_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\metadata\wood_trad_scratch_006.json,74117,0.07068347930908203
wood_trad_scratch_007,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\220.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_007.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_007_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\metadata\wood_trad_scratch_007.json,33918,0.03234672546386719
wood_trad_scratch_008,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\238.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_008.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_008_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\metadata\wood_trad_scratch_008.json,25102,0.023939132690429688
wood_trad_scratch_009,scratch,C:\Users\zsh\Desktop\昂坤视觉\MVTec_AD\wood\train\good\178.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\images\wood_trad_scratch_009.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\masks\wood_trad_scratch_009_mask.png,C:\Users\zsh\Desktop\昂坤视觉\industrial-defect-diffusion\outputs\stage9_wood_scratch_fix\traditional\wood\metadata\wood_trad_scratch_009.json,30256,0.0288543701171875
