threshold,min_component_area_ratio,min_component_area_pixels,pixel_precision,pixel_recall,pixel_f1,pixel_iou
0.5,0.0,0,0.20040778040519666,0.6770912403218461,0.3092752228766583,0.1829246409950116
0.5,0.0002,13,0.2041210191447568,0.6763890997419159,0.31360282957859864,0.1859602441696666
0.5,0.0005,33,0.2083558394589136,0.6734477000151814,0.3182494843511792,0.1892370368790393
0.5,0.001,66,0.2146943948524528,0.6686465765902535,0.325026635856706,0.19404883851567922
0.5,0.002,131,0.22103491796381994,0.6480757552755427,0.3296412662101052,0.19734758740248484
0.95,0.0,0,0.2991618130227001,0.6082245331713982,0.40105861154211925,0.25082758782604614
0.95,0.0002,13,0.3068492624830856,0.6067633216942463,0.40757949482781697,0.2559496649936361
0.95,0.0005,33,0.31414743928062855,0.5986602398664035,0.4120639772200343,0.259496586328864
0.95,0.001,66,0.325591370850465,0.5905761348109914,0.419762744555871,0.2656327352805613
0.95,0.002,131,0.3351068667576171,0.5593593441627448,0.4191218291434422,0.2651196258319842
